symbol,train_month,n_trials,n_candles,n_paths,rank,pbo,n_eff,mean_path_sharpe,error
BCHUSDT,2022-01,50,1825,45,50,0.0192,24,0.045961,
BCHUSDT,2022-02,50,1825,45,50,0.0052,24,0.01282,
BCHUSDT,2022-03,50,1825,45,47,0.0006,23,0.000918,
BCHUSDT,2022-04,50,1825,45,48,0.0018,27,0.021951,
BCHUSDT,2022-05,50,1825,45,50,0.0002,27,0.040347,
BCHUSDT,2022-06,50,1825,45,38,0.0132,20,-0.01063,
BCHUSDT,2022-07,50,1825,45,44,0.0,22,0.025077,
BCHUSDT,2022-08,50,1825,45,45,0.002,25,-0.006394,
BCHUSDT,2022-09,50,1825,45,42,0.0004,21,0.009353,
BCHUSDT,2022-10,50,1825,45,48,0.0188,23,0.046082,
BCHUSDT,2022-11,50,1825,45,49,0.018,23,0.025584,
BCHUSDT,2022-12,50,1825,45,49,0.0196,25,-0.026151,
BCHUSDT,2023-01,50,1825,45,46,0.0008,23,0.008671,
BCHUSDT,2023-02,50,1825,45,50,0.001,28,0.06142,
BCHUSDT,2023-03,50,1825,45,50,0.0046,26,0.002824,
BCHUSDT,2023-04,50,1825,45,50,0.005,29,-0.025759,
BCHUSDT,2023-05,50,1825,45,50,0.021,29,-0.023886,
BCHUSDT,2023-06,50,1825,45,50,0.0908,24,0.082403,
BCHUSDT,2023-07,50,1825,45,50,0.0942,25,-0.004376,
BCHUSDT,2023-08,50,1825,45,47,0.0012,24,-0.023515,
BCHUSDT,2023-09,50,1825,45,49,0.0016,26,0.036579,
BCHUSDT,2023-10,50,1825,45,50,0.0,29,0.073803,
BCHUSDT,2023-11,50,1825,45,44,0.0298,22,0.019692,
BCHUSDT,2023-12,50,1825,45,50,0.0,26,0.047163,
BCHUSDT,2024-01,50,1825,45,46,0.0006,24,-0.030902,
BCHUSDT,2024-02,50,1825,45,50,0.0146,29,0.039385,
BCHUSDT,2024-03,50,1825,45,50,0.0006,26,0.001532,
BCHUSDT,2024-04,50,1825,45,50,0.0016,26,-0.002871,
BCHUSDT,2024-05,50,1825,45,48,0.0028,27,-0.020052,
BCHUSDT,2024-06,50,1825,45,50,0.011,29,0.01723,
BCHUSDT,2024-07,50,1825,45,50,0.0038,26,0.006828,
BCHUSDT,2024-08,50,1825,45,49,0.0,27,0.022521,
BCHUSDT,2024-09,50,1825,45,50,0.0046,27,0.00971,
BCHUSDT,2024-10,50,1825,45,50,0.01,28,0.00233,
BCHUSDT,2024-11,50,1825,45,49,0.0048,27,-0.000507,
BCHUSDT,2024-12,50,1825,45,50,0.0024,27,-0.032763,
BCHUSDT,2025-01,50,1825,45,50,0.0026,28,0.019976,
BCHUSDT,2025-02,50,1825,45,50,0.1124,25,-0.000492,
BCHUSDT,2025-03,50,1825,45,50,0.0212,29,-0.009384,
BCHUSDT,2025-04,50,1801,45,49,0.0068,28,-0.046489,
BCHUSDT,2025-05,50,1711,45,49,0.0002,24,-0.033667,
BCHUSDT,2025-06,50,1618,45,49,0.0,27,-0.010343,
BCHUSDT,2025-07,50,1528,45,50,0.0004,21,0.020236,
BCHUSDT,2025-08,50,1435,45,50,0.0014,23,-0.038399,
BCHUSDT,2025-09,50,1342,45,50,0.0108,21,0.002273,
BCHUSDT,2025-10,50,1252,45,48,0.0058,22,-0.022718,
BCHUSDT,2025-11,50,1159,45,50,0.0174,20,-0.009673,
BCHUSDT,2025-12,50,1069,45,48,0.0938,24,-0.048737,
BCHUSDT,2026-01,50,976,45,49,0.069,20,-0.002336,
BCHUSDT,2026-02,50,883,45,50,0.01,16,-0.094681,
BCHUSDT,2026-03,50,799,45,50,0.1914,19,-0.051386,
BCHUSDT,2026-04,50,706,45,50,0.0068,17,-0.164088,
BCHUSDT,2026-05,50,616,45,50,0.0,19,-0.185074,
LDOUSDT,2024-09,50,1770,45,48,0.0266,21,-0.054577,
LDOUSDT,2024-10,50,1825,45,50,0.0012,26,-0.002196,
LDOUSDT,2024-11,50,1825,45,50,0.0004,26,-0.007357,
LDOUSDT,2024-12,50,1825,45,50,0.0034,27,0.010549,
LDOUSDT,2025-01,50,1825,45,49,0.0078,27,-0.056958,
LDOUSDT,2025-02,50,1825,45,49,0.0002,26,-0.010543,
LDOUSDT,2025-03,50,1825,45,50,0.013,21,-0.038739,
LDOUSDT,2025-04,50,1801,45,50,0.0006,28,-0.018314,
LDOUSDT,2025-05,50,1711,45,50,0.0,24,-0.005849,
LDOUSDT,2025-06,50,1618,45,50,0.0,25,-0.012028,
LDOUSDT,2025-07,50,1528,45,49,0.0004,23,-0.01642,
LDOUSDT,2025-08,50,1435,45,49,0.0078,27,-0.010482,
LDOUSDT,2025-09,50,1342,45,50,0.004,23,0.044305,
LDOUSDT,2025-10,50,1252,45,48,0.0,24,-0.039561,
LDOUSDT,2025-11,50,1159,45,50,0.0014,22,-0.040582,
LDOUSDT,2025-12,50,1069,45,49,0.0026,19,0.00521,
LDOUSDT,2026-01,50,976,45,50,0.071,21,0.066318,
LDOUSDT,2026-02,50,883,45,47,0.0002,22,0.036091,
LDOUSDT,2026-03,50,799,45,49,0.0,18,0.045018,
LDOUSDT,2026-04,50,706,45,50,0.0302,15,-8.8e-05,
LDOUSDT,2026-05,50,616,45,48,0.0002,15,-0.054014,
MKRUSDT,2022-08,50,1780,45,47,0.0,25,-0.040807,
MKRUSDT,2022-09,50,1810,45,49,0.0,23,-0.098879,
MKRUSDT,2022-10,50,1810,45,47,0.0,27,-0.022008,
MKRUSDT,2022-11,50,1810,45,50,0.0132,25,0.009996,
MKRUSDT,2022-12,50,1810,45,49,0.0262,23,0.003206,
MKRUSDT,2023-01,50,1810,45,50,0.0,27,-0.007645,
MKRUSDT,2023-02,50,1810,45,47,0.0,27,0.029434,
MKRUSDT,2023-03,50,1810,45,50,0.0236,25,0.030764,
MKRUSDT,2023-04,50,1810,45,50,0.0112,28,0.016112,
MKRUSDT,2023-05,50,1810,45,50,0.0066,26,-0.00903,
