sharpe1,sharpe2,sharpe3,ann1,ann2,vol,dd1,dd2,turn,edge_bps,cost_share,trades,long_gross,short_gross,req_min_scale,f1,f2,f3,f4,worst_fold,median_fold,pos_folds,calmar2,pq2,G,kinds,weights,w,purge,k,hold,cadence,phase
1.5620753386707162,1.4006301501714746,1.2391873956408732,0.1883793976054864,0.16655633734103747,0.11472539876388786,0.10474704762615084,0.10675768526742879,24.70476721451777,79.81202882658883,0.013653582587575139,81723,96821.48582660884,6914.773215845635,1.0,0.7955974035352454,2.0451574481842933,1.4472646591833565,1.4683565459915475,0.7955974035352454,1.457810602587452,4,1.5601344008519162,0.7058823529411765,81.8244654937546,bigp+imbsml,1.0+1.0,63,ret+size+liq,4,63,1,0
1.568151247004691,1.399708456710144,1.2311733892501056,0.18561978222585274,0.1633130380051615,0.11264673859494498,0.10099600260185182,0.10333771473303466,25.33136930299391,77.04622366845553,0.014020842777550276,84421,98200.09017103462,3963.4596196335697,1.0,0.6560084784989824,2.019191734260857,1.3856966670604174,1.687483559187572,0.6560084784989824,1.5365901131239947,4,1.5803817456876095,0.6470588235294118,78.2058139591923,bigp+imbsml,1.0+1.0,63,ret+size+liq,5,63,1,0
1.7719428038742993,1.6291029027494135,1.4862365249964904,0.2174448110525835,0.19762445932999206,0.1147828473133342,0.09474870944684521,0.09610279970727498,21.86248022914959,100.26951271801892,0.012059521513640247,84051,105485.0056313042,17685.54574375031,0.95,0.8029409186441454,2.340228074152531,1.5639519643991013,2.0033570606780664,0.8029409186441454,1.7836545125385839,4,2.056386077533097,0.8235294117647058,85.75492082334374,bigp+imbsml,1.0+1.0,63,ret+size+liq,4,90,1,0
1.8215787331319344,1.6741348026209995,1.5266673908330708,0.22055821179706125,0.20036548945336485,0.11294228284485304,0.0977360032813851,0.09924936564040865,22.23135402014431,99.8220021815024,0.012276278349677962,85367,110202.38077468268,15411.227466818433,1.0,0.7219868457329417,2.325337898870921,1.709827378006713,2.1278327005296553,0.7219868457329417,1.918830039268184,4,2.018808766791629,0.8235294117647058,84.49498407091416,bigp+imbsml,1.0+1.0,63,ret+size+liq,5,90,1,0
1.9557168418270963,1.809718844366092,1.6636323570167275,0.2463641675746404,0.225394353855916,0.11608248042662608,0.09827354419451562,0.10008125003769375,22.61283388152942,107.60557998241333,0.012278358947595666,78120,112608.22162269417,33757.81447175456,0.9193548387096775,0.9082251937663176,2.3539811365295114,2.130304082542109,2.1041242744831288,0.9082251937663176,2.1172141785126186,4,2.252113695332796,0.9411764705882353,86.32249999497417,bigp+imbsml,1.0+1.0,90,ret+size+liq,4,63,1,0
1.9291698045167696,1.7744852002654972,1.619807467395252,0.23682183760305153,0.21528077057752615,0.11354307831173169,0.09715460854933244,0.09886851270720609,23.422304992213007,100.78159537625734,0.01273993966572632,82892,111202.79215718718,28017.899730019744,1.0,0.5385313163341153,2.455457870522485,2.133109850769895,2.247210249542497,0.5385313163341153,2.190160050156196,4,2.1774452217671043,0.8823529411764706,80.14013779572932,bigp+imbsml,1.0+1.0,90,ret+size+liq,5,63,1,0
1.8453196817721769,1.7108335828175805,1.5762948892633757,0.22905732069495,0.21013027633627313,0.1154028998914023,0.09485473826985202,0.09620178889729836,20.681504720684977,110.18619976674385,0.011348305326075975,81809,109869.00788449118,23436.98845681568,0.7685393258426967,0.8246357282281621,2.304062425765138,1.7294419561830174,2.200382737239572,0.8246357282281621,1.9649123467112948,4,2.1842657890759267,0.8823529411764706,86.83976148036022,bigp+imbsml,1.0+1.0,90,ret+size+liq,4,90,1,0
1.7956590400012538,1.6536131622148595,1.5115260449127064,0.21707677519670399,0.19771352504389306,0.11298360848367209,0.09517651664181448,0.09651089400410084,21.371875545704178,102.2060506262066,0.011784098564904774,84571,110257.46030766328,14591.476114896072,0.9533333333333132,0.4648495447412976,2.346865939142693,1.8367606757172066,2.2000643918912632,0.4648495447412976,2.018412533804235,4,2.048613548595789,0.8823529411764706,78.24403380835881,bigp+imbsml,1.0+1.0,90,ret+size+liq,5,90,1,0
1.2297578043086665,1.0692735367706139,0.9086965574320537,0.14295907997532686,0.1222276045629136,0.1139474769496473,0.1820245431591847,0.19601016090780232,24.408907314404424,64.76143282436284,0.013689474336461496,80150,67407.16086441865,5409.920187200039,1.0,-0.4427070332010209,1.5890928052119402,1.4718487727228353,2.12204636818023,-0.4427070332010209,1.5304707889673876,3,0.6235779002314377,0.7647058823529411,32.414816371470145,bigp+lvl,1.0+1.0,63,ret+size+liq,4,63,1,0
1.347593297334679,1.1775878115646494,1.0074836852635036,0.1561520537219947,0.13425249107836623,0.11237238496211172,0.14458515352692913,0.159494943900374,25.50231946434191,66.7205791503141,0.014277627574851905,84113,74396.22630973393,6813.246939064949,1.0,-0.2477336236795052,1.6036247815772664,1.6127465367679934,2.1062183184606513,-0.2477336236795052,1.60818565917263,3,0.8417350907513717,0.6470588235294118,37.02327124570615,bigp+lvl,1.0+1.0,63,ret+size+liq,5,63,1,0
